url,name
https://www.tripadvisor.com/Hotel_Review-g2307943-d23426153-Reviews-Veda5_Wellness_Retreat_Spa-Arambol_North_Goa_District_Goa.html,Veda5 Wellness Retreat & Spa
https://www.tripadvisor.com/Hotel_Review-g306995-d20152281-Reviews-Bloomrooms_Calangute-Calangute_North_Goa_District_Goa.html,Bloomrooms @ Calangute
https://www.tripadvisor.com/Hotel_Review-g306992-d27926793-Reviews-Grand_Continent_Anjuna_A_Sarovar_Portico_Affiliate_Hotel-Anjuna_Bardez_North_Goa_Dist.html,"Grand Continent, Anjuna - A Sarovar Portico Affiliate Hotel"
https://www.tripadvisor.com/Hotel_Review-g312680-d3370050-Reviews-DoubleTree_by_Hilton_Hotel_Goa_Arpora_Baga-Arpora_North_Goa_District_Goa.html,DoubleTree by Hilton Hotel Goa - Arpora - Baga
https://www.tripadvisor.com/Hotel_Review-g1064392-d15990500-Reviews-Salcete_Beach_Resort-Colva_South_Goa_District_Goa.html,Salcete Beach Resort
https://www.tripadvisor.com/Hotel_Review-g306995-d7367388-Reviews-La_Vie_Woods-Calangute_North_Goa_District_Goa.html,La Vie Woods
https://www.tripadvisor.com/Hotel_Review-g2334950-d2400978-Reviews-Art_Resort_Goa-Palolem_Canacona_South_Goa_District_Goa.html,Art Resort Goa
https://www.tripadvisor.com/Hotel_Review-g1010240-d23900370-Reviews-Amadi_Beachfront_Resorts-Mandrem_North_Goa_District_Goa.html,Amadi Beachfront Resorts
https://www.tripadvisor.com/Hotel_Review-g1936425-d23651127-Reviews-JuSTa_Morjim_Beach_Resort-Morjim_North_Goa_District_Goa.html,juSTa Morjim Beach Resort
https://www.tripadvisor.com/Hotel_Review-g2334950-d25335007-Reviews-De_Garland_Palolem_AM_Hotel_Kollection-Palolem_Canacona_South_Goa_District_Goa.html,"De Garland, Palolem - AM Hotel Kollection"
https://www.tripadvisor.com/Hotel_Review-g306994-d3678134-Reviews-La_Grace_Resort-Benaulim_Salcette_South_Goa_District_Goa.html,La Grace Resort
https://www.tripadvisor.com/Hotel_Review-g1204883-d1018485-Reviews-Casa_Vagator-Vagator_North_Goa_District_Goa.html,Casa Vagator
https://www.tripadvisor.com/Hotel_Review-g2307943-d7720773-Reviews-Swati_Hotel-Arambol_North_Goa_District_Goa.html,Swati Hotel
https://www.tripadvisor.com/Hotel_Review-g2307943-d15347138-Reviews-Nanu_Resort_Arambol-Arambol_North_Goa_District_Goa.html,Nanu Resort Arambol
https://www.tripadvisor.com/Hotel_Review-g303877-d7160716-Reviews-Old_Quarter_by_the_hostelcrowd-Panjim_North_Goa_District_Goa.html,Old Quarter by the hostelcrowd
https://www.tripadvisor.com/Hotel_Review-g306995-d26347745-Reviews-Casa_Eternal_Boutique_Hotel-Calangute_North_Goa_District_Goa.html,Casa Eternal Boutique Hotel
https://www.tripadvisor.com/Hotel_Review-g1936425-d20304171-Reviews-Living_Room_Beach_Resort_Morjim-Morjim_North_Goa_District_Goa.html,"Living Room Beach Resort, Morjim"
https://www.tripadvisor.com/Hotel_Review-g306992-d13075157-Reviews-The_Ivy_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,The Ivy Anjuna
https://www.tripadvisor.com/Hotel_Review-g4354974-d2146599-Reviews-The_Beach_House_Oceanfront_A_Boutique_Resort-Sernabatim_Salcette_South_Goa_District_G.html,The Beach House Oceanfront - A Boutique Resort
https://www.tripadvisor.com/Hotel_Review-g816969-d2467703-Reviews-Dersy_Cottages-Agonda_South_Goa_District_Goa.html,Dersy Cottages
https://www.tripadvisor.com/Hotel_Review-g306995-d21400975-Reviews-Era_Santiago_Beach_Resort-Calangute_North_Goa_District_Goa.html,Era Santiago Beach Resort
https://www.tripadvisor.com/Hotel_Review-g306996-d2445285-Reviews-Casa_Fiesta_Resort-Canacona_South_Goa_District_Goa.html,Casa Fiesta Resort
https://www.tripadvisor.com/Hotel_Review-g1025163-d12459261-Reviews-Botanique-Assagao_Bardez_North_Goa_District_Goa.html,Botanique
https://www.tripadvisor.com/Hotel_Review-g1096236-d306969-Reviews-Caravela_Beach_Resort-Varca_Salcette_South_Goa_District_Goa.html,Caravela Beach Resort
https://www.tripadvisor.com/Hotel_Review-g297605-d315628-Reviews-Sonesta_Inns_Beach_Resort-Candolim_Bardez_North_Goa_District_Goa.html,Sonesta Inns Beach Resort
https://www.tripadvisor.com/Hotel_Review-g303877-d20183615-Reviews-Taj_Cidade_de_Goa_Horizon_Goa-Panjim_North_Goa_District_Goa.html,"Taj Cidade de Goa Horizon, Goa"
https://www.tripadvisor.com/Hotel_Review-g306994-d477574-Reviews-Taj_Exotica_Resort_Spa_Goa-Benaulim_Salcette_South_Goa_District_Goa.html,"Taj Exotica Resort & Spa, Goa"
https://www.tripadvisor.com/Hotel_Review-g297605-d9701943-Reviews-Lemon_Tree_Hotel_Candolim_Goa-Candolim_Bardez_North_Goa_District_Goa.html,"Lemon Tree Hotel, Candolim, Goa"
https://www.tripadvisor.com/Hotel_Review-g635747-d7289335-Reviews-Acron_Waterfront_Resort-Baga_North_Goa_District_Goa.html,Acron Waterfront Resort
https://www.tripadvisor.com/Hotel_Review-g306995-d13393034-Reviews-Bloom_Hotel_Calangute-Calangute_North_Goa_District_Goa.html,Bloom Hotel - Calangute
https://www.tripadvisor.com/Hotel_Review-g1010240-d12130301-Reviews-Amritara_Aura_Resort_Spa-Mandrem_North_Goa_District_Goa.html,Amritara Aura Resort & Spa
https://www.tripadvisor.com/Hotel_Review-g1925961-d477598-Reviews-Nanu_Beach_Resort_Spa-Betalbatim_Salcette_South_Goa_District_Goa.html,Nanu Beach Resort & Spa
https://www.tripadvisor.com/Hotel_Review-g306995-d2521803-Reviews-The_Park_Calangute_Goa-Calangute_North_Goa_District_Goa.html,The Park Calangute Goa
https://www.tripadvisor.com/Hotel_Review-g1087527-d2235246-Reviews-Ginger_Goa_Dona_Paula-Dona_Paula_Panjim_North_Goa_District_Goa.html,"Ginger Goa, Dona Paula"
https://www.tripadvisor.com/Hotel_Review-g297605-d2057388-Reviews-Country_Inn_Suites_By_Radisson_Goa_Candolim-Candolim_Bardez_North_Goa_District_Goa.html,"Country Inn & Suites By Radisson, Goa Candolim"
https://www.tripadvisor.com/Hotel_Review-g297605-d315585-Reviews-Casablanca-Candolim_Bardez_North_Goa_District_Goa.html,Casablanca
https://www.tripadvisor.com/Hotel_Review-g1936425-d26876712-Reviews-Aralea_Beach_Resort_by_Stone_Wood-Morjim_North_Goa_District_Goa.html,Aralea Beach Resort by Stone Wood
https://www.tripadvisor.com/Hotel_Review-g306995-d1228458-Reviews-Chalston_Beach_Resort-Calangute_North_Goa_District_Goa.html,Chalston Beach Resort
https://www.tripadvisor.com/Hotel_Review-g1724403-d477587-Reviews-Siolim_House-Siolim_Bardez_North_Goa_District_Goa.html,Siolim House
https://www.tripadvisor.com/Hotel_Review-g312680-d498686-Reviews-Resort_Lagoa_Azul-Arpora_North_Goa_District_Goa.html,Resort Lagoa Azul
https://www.tripadvisor.com/Hotel_Review-g297604-d27149234-Reviews-Madpackers_Goa-Goa.html,Madpackers Goa
https://www.tripadvisor.com/Hotel_Review-g816969-d4978980-Reviews-Duck_n_Chill-Agonda_South_Goa_District_Goa.html,Duck n Chill
https://www.tripadvisor.com/Hotel_Review-g306992-d305247-Reviews-Laguna_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,Laguna Anjuna
https://www.tripadvisor.com/Hotel_Review-g306995-d627572-Reviews-Casa_De_Goa_Boutique_Resort-Calangute_North_Goa_District_Goa.html,Casa De Goa Boutique Resort
https://www.tripadvisor.com/Hotel_Review-g306992-d5037143-Reviews-Michele_s_Garden_Guesthouse-Anjuna_Bardez_North_Goa_District_Goa.html,Michèle's Garden Guesthouse
https://www.tripadvisor.com/Hotel_Review-g306995-d315542-Reviews-The_Horizon-Calangute_North_Goa_District_Goa.html,The Horizon
https://www.tripadvisor.com/Hotel_Review-g1204883-d1015639-Reviews-Leoney_Resort-Vagator_North_Goa_District_Goa.html,Leoney Resort
https://www.tripadvisor.com/Hotel_Review-g306995-d1585470-Reviews-SinQ_Beach_Resort-Calangute_North_Goa_District_Goa.html,SinQ Beach Resort
https://www.tripadvisor.com/Hotel_Review-g635747-d1158405-Reviews-Baia_Do_Sol_Beach_boutique-Baga_North_Goa_District_Goa.html,Baia Do Sol - Beach boutique
https://www.tripadvisor.com/Hotel_Review-g1152662-d11800747-Reviews-All_Seasons_Guest_House-Margao_South_Goa_District_Goa.html,All Seasons Guest House
https://www.tripadvisor.com/Hotel_Review-g306996-d423394-Reviews-Bhakti_Kutir-Canacona_South_Goa_District_Goa.html,Bhakti Kutir
https://www.tripadvisor.com/Hotel_Review-g306995-d2554961-Reviews-19_Belo_Cabana-Calangute_North_Goa_District_Goa.html,19 Belo Cabana
